"Number";"component";"tray"
1;"bearing-holder-fixed";1
1;"bearing-holder-float";1
2;"belt-clamp";1
2;"frame-vertex";1
4;"frame-vertex-foot";1
1;"idler";1
1;"idler-cover";1
1;"large_gear";1
1;"M6-block";3
1;"nozzle-mounting";2
2;"pla-coupling";2
1;"small_gear";2
1;"tongue";2
1;"x-carriage";2
1;"x-idler-bracket";2
1;"x-motor-bracket";2
7;"y-bar-clamp";2
1;"y-endstop-holder";3
1;"y-idler-split1";3
1;"y-idler-split2";3
1;"y-motor-split1";3
1;"y-motor-split2";3
1;"z-endstop-holder";3
2;"z-motor-bracket";3
